"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'armes et de munitions (NAF rév. 2, niveau classe, poste 25.40)";"Codes"
"idBank";"010767975";""
"Dernière mise à jour";"05/04/2024 08:45";""
"Période";"";""
"2024-02";"113.94";"A"
"2024-01";"104.93";"A"
"2023-12";"113.18";"A"
"2023-11";"110.91";"A"
"2023-10";"107.15";"A"
"2023-09";"105.57";"A"
"2023-08";"99.44";"A"
"2023-07";"107.72";"A"
"2023-06";"103.58";"A"
"2023-05";"101.01";"A"
"2023-04";"82.65";"A"
"2023-03";"108.6";"A"
"2023-02";"96.32";"A"
"2023-01";"98.23";"A"
"2022-12";"94.25";"A"
"2022-11";"96.63";"A"
"2022-10";"83.11";"A"
"2022-09";"98.99";"A"
"2022-08";"95.7";"A"
"2022-07";"91.14";"A"
"2022-06";"96.64";"A"
"2022-05";"101.44";"A"
"2022-04";"98.84";"A"
"2022-03";"96.06";"A"
"2022-02";"93.5";"A"
"2022-01";"103.98";"A"
"2021-12";"87.4";"A"
"2021-11";"93.93";"A"
"2021-10";"103.27";"A"
"2021-09";"100.52";"A"
"2021-08";"104.77";"A"
"2021-07";"91.15";"A"
"2021-06";"100.83";"A"
"2021-05";"97.73";"A"
"2021-04";"104.81";"A"
"2021-03";"101.44";"A"
"2021-02";"105.84";"A"
"2021-01";"108.32";"A"
"2020-12";"101.71";"A"
"2020-11";"103.37";"A"
"2020-10";"98.09";"A"
"2020-09";"99.67";"A"
"2020-08";"101.31";"A"
"2020-07";"110.86";"A"
"2020-06";"104.91";"A"
"2020-05";"73.12";"A"
"2020-04";"64.06";"A"
"2020-03";"83.78";"A"
"2020-02";"98.91";"A"
"2020-01";"85.0";"A"
"2019-12";"96.65";"A"
"2019-11";"97.34";"A"
"2019-10";"105.42";"A"
"2019-09";"95.23";"A"
"2019-08";"94.99";"A"
"2019-07";"96.8";"A"
"2019-06";"90.33";"A"
"2019-05";"101.64";"A"
"2019-04";"101.8";"A"
"2019-03";"100.79";"A"
"2019-02";"93.73";"A"
"2019-01";"93.58";"A"
"2018-12";"99.18";"A"
